name,energy flux (erg/cm2/s for 10-10000 keV),photon flux (ph/cm2/s for 10-10000 keV),t90 (s),best fit model,model parameters
bn100616773,3.336713251539189e-06,7.862662526461025,0.192,plaw,[1.552819]
bn101027230,2.6074517257787334e-06,5.424292656273528,1.344,plaw,[1.515657]
bn081012045,3.7898457507459915e-06,5.894487888634544,1.216,comp,"[-0.6467478, 1185.219]"
bn120830297,6.2686535489898845e-06,8.441088244853258,0.896,comp,"[-0.3467566, 1089.863]"
bn120916085,4.1416074380534134e-06,5.93438798997467,1.28,plaw,[1.404296]
bn170918139,2.3534242390436926e-06,6.423358998762294,0.128,plaw,[1.596876]
bn111103948,4.814757320015597e-06,6.524917417061572,0.32,comp,"[-0.5644991, 1277.969]"
bn131128629,1.084372897795605e-06,4.540308988148106,1.984,plaw,[1.728761]
bn170219002,1.4557953172522263e-05,19.492552507055027,0.096,comp,"[-0.9051238, 1944.159]"
bn081119184,2.998637004322343e-06,5.013006760683758,0.32,plaw,[1.450514]
bn200415367,2.5857933068303638e-05,33.66281744474779,0.144,comp,"[0.01191045, 934.1315]"
bn171108656,8.578507726003322e-07,10.761165139065808,0.032,comp,"[-0.9947428, 100.2242]"
bn120814201,3.768329546426759e-06,7.92802236750434,0.896,comp,"[-0.8407089, 1030.139]"
bn161015400,6.123684065743604e-06,5.9108658910460035,0.192,plaw,[1.282882]
bn150214293,1.939615724962764e-06,4.70580024861154,0.192,comp,"[-0.6361677, 711.1631]"
bn120302722,4.1809851766450654e-06,6.6722533420533745,1.6,plaw,[1.436625]
bn110131780,3.6798929571355218e-06,4.557104181519238,0.384,plaw,[1.360104]
bn160428412,2.2407328563569204e-06,3.8059029542439413,0.576,comp,"[-0.9152142, 1474.281]"
bn101204343,3.6623964127620294e-06,8.53907560064391,0.128,comp,"[-0.27564, 584.4052]"
bn180128215,9.412297149541725e-06,8.96460100911737,0.208,plaw,[1.278659]
bn151229486,5.361483749019815e-06,6.4478069556509165,0.16,plaw,[1.351151]
bn140605377,3.3743146364486964e-06,6.726439625433339,0.512,comp,"[-0.2490734, 680.4542]"
bn150604434,3.1203137218318098e-06,7.761246210280928,0.896,comp,"[-0.7699804, 780.5557]"
bn160224911,2.9287284390690814e-06,4.665559510145033,0.384,plaw,[1.436095]
bn110420946,2.537483456559018e-06,9.349237308650254,0.128,comp,"[-0.2095776, 345.8381]"
bn140209313,8.56085433504862e-05,17.653419739217302,1.408,band,"[-0.6056056, -0.6056056, 103.1994247825436]"
bn130808253,2.3058206791225485e-06,14.149779488191507,0.256,plaw,[1.855503]
bn090225009,1.4244322627181296e-06,1.6767851689281772,2.176,plaw,[1.344596]
